Month,Gross_Profit25,Gross_Profit26,Net_Profit25,Net_Profit26,Gross_Profit_Margin25,Gross_Profit_Margin26,Net_Profit_Margin25,Net_Profit_Margin26
January,"124,815.50","145,486.80","77,904.05","86,704.99",27.20%,23.83%,16.98%,14.20%
February,"77,909.20","226,360.00","36,688.69","181,344.07",22.21%,33.65%,10.46%,26.95%
March,"140,147.00","153,035.65","97,957.53","100,276.12",24.69%,22.32%,17.26%,14.62%
April,"175,559","29,802.00","127,149.58","-18,284.00",35.06%,8.05%,25.39%,-4.94%
May,"168,262.04","402,056.00","122,181","373,247.24",29.90%,48.95%,21.71%,45.44%
June,"67,805.86","125,100.80","17,552.52","70,780.90",17.67%,24.86%,4.57%,14.07%
July,"107,668.13","305,384.15","61,443.79","255,818.27",23.19%,37.65%,13.23%,31.54%

