Month,TotalOrders26,TotalOrders25,CostOrder26,CostOrder25,AOV26,AOV25,UtilityShareRev26,UtilityShareRev25,UtilityBurdenPercent26,UtilityBurdenPercent25,UtilityBurdenQuality
January,96,49,402.76,733.93,"6,358.84",9362.3,6,8,6.33,7.83,MODERATE
February,124,60,258.46,519.56,"5,424.62",5844.28,5,9,4.76,8.89,LOW
March,115,110,290.9,265.64,"5,960.26",5158.57,5,5,4.88,5.14,LOW
April,94,72,392.78,474.58,"3,935.55",6953.73,10,7,9.98,6.82,MODERATE
May,102,88,162.79,410.02,"8,052.14",6393.98,2,6,2.02,6.41,LOW
June,79,97,513.18,362.57,"6,367.84",3954.65,8,9,8.05,9.16,MODERATE
July,102,129,381.68,260.67,"7,951.00",3598.73,5,7,4.8,7.24,LOW
