Month,ElecSpend25,ElecSpend26,WatSpend25,WatSpend26,TotalSpend25,TotalSpend26
Jan,23735.05,"24,984.88","12,227.64","13,680.33","35,962.69","38,665.21"
Feb,21654.13,"22,096.46","9,519.92","9,953.78","31,174.05","32,050.24"
March,21101.44,"25,087.83","8,119.19",8366.11,"29,220.63","33,453.94"
April,25210.75,"28,115.25",8959.63,8806.08,"34,170.38","36,921.33"
May,27402.61,7648.74,8679.48,8956.36,"36,082.09","16,605.10"
June,25369.26,31584.88,9800.06,8956.36,"35,169.32","40,541.24"
July,23265.61,29985.21,10360.82,"8,947.01","33,626.43","38,932.22"
