Month,UtilitySpend25,Revenue25,UtilityPercent25,UtilitySpend26,Revenue26,UtilityPercent26,CostPercentLevel
January,35962.69,"458,753.00",8,38665.21,"610,448.80",6,BAD
February,31174.05,"350,657.20",9,32050.24,"672,653.00",5,OKAY
March,29220.63,"567,443.00",5,33453.94,"685,430.40",5,OKAY
April,34170.38,"500,669.00",7,36921.33,"369,942.00",10,BAD
May,36082.09,"562,670.54",6,16605.1,"821,319.00",2,GOOD
June,35169.32,"383,601.56",9,40541.24,"503,060.00",8,BAD
July,33626.43,"464,236.88",7,38932.22,"811,002.00",5,OKAY
